algorithm;tryb;start;end;traced;pathLenght;time
AStar;4;24,31;39,33;32;17;0,479
AStar;8;56,18;54,32;15;14;0,28
AStar;4;68,16;67,28;14;13;0,258
AStar;8;37,33;43,46;14;13;0,249
AStar;4;34,30;21,48;305;31;3,203
AStar;4;58,19;67,33;162;23;1,819
AStar;8;41,21;35,31;11;10;0,208
