algorithm;tryb;start;end;traced;pathLenght;time
Djikstra;4;23,105;108,73;12281;717;497,649
Djikstra;8;23,105;108,73;8156;494;1858,016
Djikstra;4;23,105;108,73;12281;717;453,449
Djikstra;8;23,105;108,73;8156;494;381,681
AStar;4;23,105;108,73;5240;717;348,892
AStar;8;23,105;108,73;4916;494;325,357
