algorithm;tryb;start;end;traced;pathLenght;time
Djikstra;4;30,31;111,41;14335;953;126,236
Djikstra;8;30,31;111,41;9915;665;126,056
AStar;4;30,31;111,41;6615;953;106,77
AStar;8;30,31;111,41;6418;665;99,618
AStar;8;30,31;111,41;6418;665;99,622
AStar;8;30,31;111,41;6418;665;99,36
