algorithm;tryb;start;end;traced;pathLenght;time
AStar;8;20,136;136,26;1248;126;80,182
AStar;4;20,136;136,26;8354;226;551,195
Djikstra;4;20,136;136,26;42988;226;1267,419
Djikstra;8;20,136;136,26;42929;126;1297,869
